State,Measure Names,Year of Year,Measure Values
Delaware,Highway Fatalities,2020,116
Delaware,Transit Fatalities,2019,0
Delaware,Recreational boating fatalities,2019,1
Delaware,Rail fatalities,2019,0
Delaware,Highway Fatalities,2019,132
Delaware,Transit Fatalities,2018,2
Delaware,Recreational boating fatalities,2018,2
Delaware,Rail fatalities,2018,4
Delaware,Highway Fatalities,2018,111
Delaware,Transit Fatalities,2017,1
Delaware,Recreational boating fatalities,2017,3
Delaware,Rail fatalities,2017,2
Delaware,Highway Fatalities,2017,119
Delaware,Transit Fatalities,2016,1
Delaware,Recreational boating fatalities,2016,1
Delaware,Rail fatalities,2016,3
Delaware,Highway Fatalities,2016,119
Delaware,Transit Fatalities,2015,1
Delaware,Recreational boating fatalities,2015,0
Delaware,Rail fatalities,2015,2
Delaware,Highway Fatalities,2015,131
Delaware,Transit Fatalities,2014,0
Delaware,Recreational boating fatalities,2014,1
Delaware,Rail fatalities,2014,1
Delaware,Highway Fatalities,2014,124
Delaware,Transit Fatalities,2013,3
Delaware,Recreational boating fatalities,2013,0
Delaware,Rail fatalities,2013,0
Delaware,Highway Fatalities,2013,99
Delaware,Transit Fatalities,2012,0
Delaware,Recreational boating fatalities,2012,0
Delaware,Rail fatalities,2012,0
Delaware,Highway Fatalities,2012,114
Delaware,Transit Fatalities,2011,0
Delaware,Recreational boating fatalities,2011,1
Delaware,Rail fatalities,2011,2
Delaware,Highway Fatalities,2011,99
Delaware,Transit Fatalities,2010,0
Delaware,Recreational boating fatalities,2010,0
Delaware,Rail fatalities,2010,1
Delaware,Highway Fatalities,2010,101
District of Columbia,Transit Fatalities,2023,9
District of Columbia,Recreational boating fatalities,2023,
District of Columbia,Rail fatalities,2023,0
District of Columbia,Highway Fatalities,2023,
District of Columbia,Transit Fatalities,2022,7
District of Columbia,Recreational boating fatalities,2022,0
District of Columbia,Rail fatalities,2022,1
District of Columbia,Highway Fatalities,2022,
District of Columbia,Transit Fatalities,2021,12
District of Columbia,Recreational boating fatalities,2021,0
District of Columbia,Rail fatalities,2021,0
District of Columbia,Highway Fatalities,2021,41
District of Columbia,Transit Fatalities,2020,7
District of Columbia,Recreational boating fatalities,2020,3
District of Columbia,Rail fatalities,2020,1
District of Columbia,Highway Fatalities,2020,36
District of Columbia,Transit Fatalities,2019,8
District of Columbia,Recreational boating fatalities,2019,0
District of Columbia,Rail fatalities,2019,0
District of Columbia,Highway Fatalities,2019,23
District of Columbia,Transit Fatalities,2018,6
